,GASS ID,σ,S/N,"SCO,obs",,"SCO,cor",,fof f,MH2,MH2/M∗,Flag
213,11087,1.42,...,...,,...,,...,8.96,0.012,2
214,11071,1.38,6.45,3.60,,4.71,,...,8.67,0.013,1
215,11126,0.99,...,...,,...,,...,8.98,0.017,2
216,11112,2.64,24.66,36.00,,60.74,,0.20,9.84,0.107,1
217,11120,2.02,8.44,8.46,,10.37,,...,9.06,0.045,1
218,11311,1.77,13.03,13.26,,22.77,,0.40,9.60,0.048,1
219,11298,1.17,7.41,4.82,,5.83,,...,9.13,0.106,1
220,11295,1.38,12.51,11.34,,18.72,,...,9.64,0.035,1
221,1977,1.93,13.89,13.62,,24.31,,0.21,9.51,0.054,1
222,11270,1.18,6.47,2.02,,2.16,,...,8.70,0.042,1
223,11349,1.64,15.05,10.08,,12.43,,...,9.09,0.091,1
224,11437,1.26,7.58,4.81,,6.37,,...,8.82,0.018,1
225,11408,2.17,18.47,8.04,,10.40,,...,9.03,0.094,1
226,11513,1.16,2.68,1.50,,1.64,,...,8.61,0.010,1
227,11514,1.13,4.33,2.77,,2.93,,...,8.90,0.043,1
228,11386,1.17,...,...,,...,,...,8.99,0.027,2
229,11808,1.11,7.87,4.76,,5.71,,...,9.28,0.032,1
230,11845,1.72,20.57,17.28,,17.28,,0.14,9.53,0.085,1
231,11824,1.08,4.53,2.29,,2.82,,...,8.78,0.034,1
