ID "GASS ID" "SDSS ID" zSDSS M∗ µ∗ D25 R90/R50 NUV−r r col0 σ S/N SCO,obs SCO,cor "fof f" MH2 MH2/M∗ Flag
104 30175 J121602.67+141121.8 0.0254 10.74 9.13 ... 2.9 ... 13.97 110 1.49 ... ... ... ... 8.5 0.006 2
105 24168 J121612.36+132615.4 0.026 10.44 8.85 49.1 2.83 4.77 14.95 111 1.24 4.37 3.16 4.21 ... 8.63 0.016 1
106 24183 J121744.10+131015.7 0.0429 10.77 8.73 45.4 2.58 2.31 14.23 112 2.12 17.16 17.34 17.42 0.20 9.67 0.08 1
107 24741 J121750.81+082549.0 0.0492 10.91 8.98 42.3 2.92 2.64 14.67 113 1.32 9.78 7.62 9.62 ... 9.53 0.041 1
108 18335 J121853.94+100010.1 0.0431 10.87 9.17 35.0 3.17 6.03 14.83 114 1.2 ... ... ... ... 9.07 0.016 2
109 18421 J122006.47+100429.2 0.0434 10.6 8.8 31.8 3.53 4.10 14.97 115 1.65 8.16 5.10 5.93 ... 9.21 0.041 1
110 24094 J122030.18+112027.3 0.0431 11.08 8.91 43.2 2.56 4.31 14.26 116 1.47 6.36 5.66 7.19 ... 9.29 0.016 1
111 30338 J122319.58+141813.4 0.0418 10.95 8.97 52.4 2.92 4.76 14.7 117 1.18 ... ... ... ... 9.11 0.015 2
112 18469 J123251.49+084423.9 0.0338 10.15 8.24 27.3 1.8 2.51 15.18 118 1.61 7.51 4.83 5.42 ... 8.96 0.065 1
113 12970 J123553.79+054539.8 0.0418 10.89 8.51 51.3 2.76 5.50 14.39 119 1.08 ... ... ... ... 8.96 0.012 2
114 24426 J123622.72+133610.3 0.0305 10.12 8.1 47.2 2.08 2.43 14.83 120 1.47 11.17 6.54 8.59 ... 9.08 0.09 1
115 12966 J123632.24+061010.5 0.0395 11.18 9.0 51.6 2.57 5.25 13.96 121 1.88 ... ... ... ... 9.15 0.009 2
116 30479 J123708.06+142426.9 0.0308 10.29 9.19 21.7 2.91 5.46 15.34 122 1.25 ... ... ... ... 8.66 0.024 2
117 28143 J123711.40+083929.8 0.0283 10.3 8.83 42.3 2.88 3.11 14.98 123 1.27 ... ... ... ... 8.69 0.024 2
118 30471 J123753.20+141652.7 0.0263 10.83 9.11 52.9 2.98 5.58 13.64 124 2.1 ... ... ... ... 8.86 0.011 2
119 24366 J123938.86+122507.9 0.0411 10.86 9.51 32.6 3.24 5.76 14.95 125 1.04 ... ... ... ... 8.86 0.01 2
120 12983 J124032.46+052119.9 0.0466 11.04 8.98 42.0 2.71 4.35 14.68 126 1.03 ... ... ... ... 9.06 0.011 2
121 28168 J124054.96+080323.2 0.0478 10.18 9.07 14.5 2.93 3.22 16.25 127 1.4 5.99 3.12 3.18 ... 9.03 0.07 1
122 6506 J124309.36+033452.2 0.0487 10.77 8.52 41.4 1.97 3.05 14.89 128 2.0 15.89 16.92 21.66 0.29 9.87 0.128 1
123 13037 J124314.97+040502.0 0.0485 11.03 9.18 36.6 3.28 5.85 14.72 129 0.94 ... ... ... ... 8.98 0.009 2
124 28461 J124622.67+115235.7 0.0443 11.36 9.19 55.1 3.32 5.87 13.76 130 1.87 ... ... ... ... 9.26 0.008 2
125 6565 J124938.19+024520.2 0.0476 10.89 9.22 34.0 3.29 5.88 14.91 131 1.05 ... ... ... ... 9.0 0.013 2
126 6583 J125055.79+031149.3 0.0483 11.2 9.12 47.2 3.25 5.59 14.14 132 1.62 ... ... ... ... 9.24 0.011 2
127 26822 J125129.06+134654.5 0.0376 11.03 8.89 59.2 2.49 3.48 13.8 133 1.99 16.79 18.66 27.47 0.34 9.76 0.054 1
128 40500 J125911.09+103006.0 0.046 10.88 9.07 32.4 3.42 5.22 14.91 134 1.11 ... ... ... ... 8.99 0.013 2
129 30508 J125926.22+142030.0 0.0471 11.02 8.88 44.0 3.38 5.25 14.59 135 1.22 ... ... ... ... 9.09 0.012 2
130 13227 J125950.03+050251.2 0.0483 11.22 8.75 48.1 2.4 4.45 14.17 136 1.58 7.13 5.24 6.94 ... 9.37 0.014 1
131 40439 J130415.04+091324.4 0.035 10.95 8.6 70.7 2.18 2.61 13.59 137 2.04 19.33 16.14 38.85 0.51 9.85 0.079 1
132 25154 J130457.41+120444.6 0.0358 11.13 9.18 54.4 3.0 5.93 13.81 138 1.89 ... ... ... ... 9.08 0.009 2
133 40570 J131104.94+084828.3 0.0325 11.14 9.08 62.9 2.82 5.61 13.42 141 2.6 ... ... ... ... 9.17 0.011 2
134 25214 J131232.81+114344.2 0.0311 11.16 9.18 66.3 3.19 5.92 13.46 142 2.53 ... ... ... ... 9.13 0.009 2
135 25448 J133003.89+121030.6 0.0447 10.68 8.38 42.1 2.4 2.60 14.71 143 1.58 5.43 2.97 3.74 ... 9.04 0.023 1
136 25347 J133019.15+113042.5 0.0378 11.09 9.22 53.5 3.61 5.90 13.9 144 1.92 ... ... ... ... 9.13 0.011 2
137 13512 J133612.18+044424.3 0.0343 10.73 9.47 34.3 2.88 4.45 14.19 145 1.55 3.90 2.35 2.79 ... 8.69 0.009 1
138 7031 J134647.18+020712.1 0.0331 10.6 9.31 35.7 3.16 5.11 15.39 146 1.19 ... ... ... ... 8.78 0.015 2
139 35981 J135308.35+354250.5 0.0411 10.3 8.25 72.8 2.21 2.50 15.31 147 0.91 6.60 2.59 4.19 ... 9.02 0.053 1
