,GASS ID,SDSS ID,zSDSS,M∗,µ∗,D25,R90/R50,NUV−r,r
0,,,Table 1: Optical and UV parameters of the COLD GASS galaxies,,,,,,
141,25214,J131232.81+114344.2,0.0311,11.16,9.18,66.3,3.19,5.92,13.46
142,25448,J133003.89+121030.6,0.0447,10.68,8.38,42.1,2.40,2.60,14.71
143,25347,J133019.15+113042.5,0.0378,11.09,9.22,53.5,3.61,5.90,13.90
144,13512,J133612.18+044424.3,0.0343,10.73,9.47,34.3,2.88,4.45,14.19
145,7031,J134647.18+020712.1,0.0331,10.60,9.31,35.7,3.16,5.11,15.39
146,35981,J135308.35+354250.5,0.0411,10.30,8.25,72.8,2.21,2.50,15.31
147,40317,J135533.72+144552.7,0.0408,11.07,9.29,44.5,3.39,5.45,14.32
148,40257,J135842.23+132722.9,0.0393,11.13,9.07,53.0,3.22,5.72,13.94
149,40247,J135942.61+124412.5,0.0392,11.35,9.32,63.8,3.37,5.69,13.59
150,9301,J140316.98+042147.4,0.0462,11.33,9.77,28.7,2.92,3.36,15.38
151,7286,J141432.05+031124.9,0.0269,10.73,8.97,53.4,2.49,4.56,13.53
152,38462,J141545.94+102619.8,0.0258,10.75,8.90,52.6,2.36,4.39,14.06
153,38472,J141608.76+103543.8,0.0264,10.19,8.89,34.2,3.07,5.45,14.99
154,38591,J141740.51+103459.9,0.0271,10.28,8.77,36.0,3.45,6.03,14.91
155,41323,J141822.46+080551.0,0.0440,11.02,9.00,47.7,3.24,5.53,14.39
156,30811,J141845.69+055004.7,0.0489,11.28,9.21,55.1,3.19,5.26,14.20
157,9483,J142056.54+035217.4,0.0354,10.71,8.93,33.3,2.46,2.70,14.41
158,9514,J142209.71+043116.1,0.0267,10.51,9.00,37.1,2.97,4.53,14.88
159,9551,J142732.37+044917.8,0.0269,10.91,9.21,60.3,2.80,3.86,13.71
160,9814,J143348.34+035724.7,0.0293,10.87,8.93,49.3,2.36,4.21,13.90
161,9601,J143351.42+034046.1,0.0288,10.83,9.33,47.5,3.18,6.09,14.17
162,9917,J144025.99+033556.0,0.0281,10.66,9.60,32.4,3.04,5.58,14.52
163,9948,J144414.74+041306.7,0.0256,10.70,9.20,81.3,2.56,3.66,13.99
164,38717,J144929.32+090445.1,0.0405,10.41,8.44,38.3,2.55,3.02,15.35
165,10019,J145153.39+032147.7,0.0308,10.68,8.65,64.7,2.48,2.95,14.19
166,38964,J150216.35+115503.2,0.0322,11.27,9.28,65.7,2.80,5.41,13.55
167,39119,J150926.10+101718.3,0.0276,10.18,8.72,38.8,2.87,3.63,16.00
168,10218,J151140.36+034034.2,0.0464,10.76,8.69,38.5,2.60,2.74,14.54
169,39270,J151220.62+092059.7,0.0345,10.14,8.07,48.9,2.06,2.37,15.08
170,42025,J151507.55+070116.5,0.0367,10.88,9.08,51.5,3.02,4.90,14.72
171,41969,J151531.54+062213.3,0.0351,10.42,8.45,45.2,2.84,2.04,14.42
172,42140,J151531.97+072829.0,0.0457,10.98,9.02,47.9,3.13,5.99,14.57
173,10367,J151553.85+030301.1,0.0379,11.08,9.12,39.1,2.50,4.54,14.31
174,42013,J151604.47+065051.4,0.0368,10.77,9.11,39.6,3.07,4.08,14.73
175,42141,J151619.14+070944.4,0.0360,10.97,8.53,56.0,1.84,3.49,13.95
176,10358,J151711.15+032105.7,0.0370,11.09,9.17,41.5,3.08,5.86,14.13
177,10404,J151722.96+041248.9,0.0361,11.02,9.34,51.7,3.32,5.87,14.04
178,10447,J151840.93+042505.3,0.0471,10.68,8.76,25.1,2.62,5.45,15.38
179,39548,J152522.51+094352.3,0.0347,10.42,8.15,44.7,1.91,2.69,14.72
180,39605,J152559.84+094724.5,0.0339,10.13,9.07,18.5,3.22,5.45,15.91
181,39595,J152716.72+100240.2,0.0435,10.87,9.01,44.7,3.15,3.50,14.61
182,39567,J152747.42+093729.6,0.0312,10.57,9.22,37.1,3.11,3.84,14.93
183,26958,J154654.33+055328.3,0.0419,11.26,9.10,71.2,3.09,4.71,13.52
184,47221,J154902.67+175625.5,0.0318,10.54,8.72,34.8,2.19,3.05,14.62
